name,url,description,test_type,category,duration
Verify Interactive - Numerical Reasoning,https://www.shl.com/solutions/products/assessments/numerical-reasoning/,Measures numerical reasoning ability through interactive questions that assess data interpretation and numerical problem-solving skills.,C,Numerical Reasoning,18 minutes
Verify Interactive - Verbal Reasoning,https://www.shl.com/solutions/products/assessments/verbal-reasoning/,Evaluates verbal reasoning ability and comprehension skills through passage-based questions.,C,Verbal Reasoning,18 minutes
Verify Interactive - Inductive Reasoning,https://www.shl.com/solutions/products/assessments/inductive-reasoning/,Assesses logical thinking and pattern recognition through abstract reasoning problems.,C,Logical Reasoning,18 minutes
Verify Interactive - Deductive Reasoning,https://www.shl.com/solutions/products/assessments/deductive-reasoning/,Measures deductive logical reasoning and ability to draw valid conclusions from given information.,C,Logical Reasoning,18 minutes
OPQ - Occupational Personality Questionnaire,https://www.shl.com/solutions/products/assessments/opq/,Comprehensive personality assessment measuring behavioral traits and work style preferences across multiple dimensions.,P,Personality Assessment,25 minutes
Motivation Questionnaire (MQ),https://www.shl.com/solutions/products/assessments/motivation-questionnaire/,Assesses motivational factors and values that drive workplace behavior and performance.,P,Personality Assessment,20 minutes
Java Programming Skills Assessment,https://www.shl.com/solutions/products/product-catalog/verify-java/,"Technical assessment measuring Java programming knowledge, syntax, OOP concepts, and problem-solving abilities.",K,Technical Skills,30 minutes
Python Programming Assessment,https://www.shl.com/solutions/products/product-catalog/verify-python/,"Evaluates Python programming skills including data structures, algorithms, and practical coding abilities.",K,Technical Skills,30 minutes
SQL Database Skills Test,https://www.shl.com/solutions/products/product-catalog/verify-sql/,"Tests SQL knowledge including query writing, database design, joins, and data manipulation.",K,Technical Skills,25 minutes
Microsoft Excel Skills Assessment,https://www.shl.com/solutions/products/product-catalog/verify-excel/,"Measures proficiency in Excel including formulas, functions, data analysis, and spreadsheet management.",K,Technical Skills,30 minutes
Leadership Judgment Indicator (LJI),https://www.shl.com/solutions/products/assessments/leadership-judgment/,Assesses leadership decision-making and judgment in workplace scenarios.,S,Leadership & Management,20 minutes
Management and Graduate Item Bank (MGIB),https://www.shl.com/solutions/products/assessments/mgib/,Comprehensive cognitive ability assessment for graduate and management level candidates.,C,General Aptitude,45 minutes
Customer Service Aptitude Assessment,https://www.shl.com/solutions/products/product-catalog/customer-service/,"Evaluates customer service skills including communication, problem-solving, and empathy.",S,Sales & Customer Service,20 minutes
Sales Aptitude Assessment,https://www.shl.com/solutions/products/product-catalog/sales-assessment/,"Measures sales-related competencies including persuasion, negotiation, and customer engagement.",S,Sales & Customer Service,25 minutes
JavaScript/TypeScript Skills Test,https://www.shl.com/solutions/products/product-catalog/verify-javascript/,Technical assessment of JavaScript and TypeScript programming abilities including ES6+ features.,K,Technical Skills,30 minutes
Data Analysis and Interpretation,https://www.shl.com/solutions/products/product-catalog/data-analysis/,"Assesses ability to analyze data sets, identify trends, and draw meaningful conclusions.",C,Data Analysis,25 minutes
Financial Reasoning Assessment,https://www.shl.com/solutions/products/product-catalog/financial-reasoning/,"Evaluates understanding of financial concepts, statements, and numerical analysis in business context.",C,Numerical Reasoning,30 minutes
